# Exported from Du Chinese
Simplified,Traditional,Pinyin,Meaning,Simplified sentence,Traditional sentence,Sentence pinyin,Sentence translation
刚,剛,gāng,"just
as soon as",他们刚坐好，张飞就问：“你为什么不愿意帮官府打黄军？”,他們剛坐好，張飛就問：“你為什麼不願意幫官府打黃軍？”,tā men gāng zuò hǎo ， zhāng fēi jiù wèn ： “ nǐ wèi shén me bú yuàn yì bāng guān fǔ dǎ huáng jūn ？”,"As soon as they sat down, Zhang Fei asked, “Why don’t you want to help the government fight the yellow soldiers?”"
饭馆,飯館,fàn guǎn,restaurant,街边有一家饭馆，饭馆里的人不多，很安静，是个好地方。,街邊有一家飯館，飯館裡的人不多，很安靜，是個好地方。,jiē biān yǒu yì jiā fàn guǎn ， fàn guǎn lǐ de rén bù duō ， hěn ān jìng ， shì ge hǎo dì fang 。,"There’s a restaurant on the street. There aren’t many people in the restaurant, and it’s very quiet. It’s a good place."
街,街,jiē,street,街边有一家饭馆，饭馆里的人不多，很安静，是个好地方。,街邊有一家飯館，飯館裡的人不多，很安靜，是個好地方。,jiē biān yǒu yì jiā fàn guǎn ， fàn guǎn lǐ de rén bù duō ， hěn ān jìng ， shì ge hǎo dì fang 。,"There’s a restaurant on the street. There aren’t many people in the restaurant, and it’s very quiet. It’s a good place."
聊,聊,liáo,to chat,刘备说：“这儿不是说话的地方，我们找个安静的地方，好好聊一聊。”,劉備說：“這兒不是說話的地方，我們找個安靜的地方，好好聊一聊。”,liú bèi shuō ： “ zhè‘r bú shì shuō huà de dì fang ， wǒ men zhǎo ge ān jìng de dì fang ， hǎo hǎo liáo yì liáo 。”,"Liu Bei said, “This is not the place to talk. Let’s find a quiet place and have a good chat.”"
安静,安靜,ān jìng,"quiet
calm
peaceful",刘备说：“这儿不是说话的地方，我们找个安静的地方，好好聊一聊。”,劉備說：“這兒不是說話的地方，我們找個安靜的地方，好好聊一聊。”,liú bèi shuō ： “ zhè‘r bú shì shuō huà de dì fang ， wǒ men zhǎo ge ān jìng de dì fang ， hǎo hǎo liáo yì liáo 。”,"Liu Bei said, “This is not the place to talk. Let’s find a quiet place and have a good chat.”"
脸,臉,liǎn,face,这个人的脸很黑，眼睛特别大。他也看着刘备，有点儿生气。,這個人的臉很黑，眼睛特別大。他也看著劉備，有點兒生氣。,zhè ge rén de liǎn hěn hēi ， yǎn jing tè bié dà 。 tā yě kàn zhe liú bèi ， yǒu diǎn'r shēng qì 。,"The man’s face was dark, and his eyes were unusually large. He also looked at Liu Bei and was a little angry. "
别人,別人,bié ren,other people,这个人说的话和别人不一样，,這個人說的話和別人不一樣，,zhè ge rén shuō de huà hé bié ren bù yí yàng ，,This man did not talk like other people.
关心,關心,guān xīn,"to care for sth
concerned",你为什么不帮忙想办法？还一点儿都不关心？”,你為什麼不幫忙想辦法？還一點兒都不關心？”,nǐ wèi shén me bù bāng máng xiǎng bàn fǎ ？ hái yì diǎn'r dōu bù guān xīn ？”,Why don’t you help to think of a solution? You don’t care about it all?”
得到,得到,dé dào,"to get
to obtain
to receive",但是都没有得到帮助。,但是都沒有得到幫助。,dàn shì dōu méi yǒu dé dào bāng zhù 。,.. but they did not get any help.
生气,生氣,shēng qì,"to get angry
to take offense",他生气自己没有钱，,他生氣自己沒有錢，,tā shēng qì zì jǐ méi yǒu qián ，,He was angry that he didn’t have any money.
